country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
Albania,ALB,2021-01-20,519,519,,36,47,0.02,0.02,,16,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1031-te-vaksinuar-3691-testime-849-te-sheruar-986-raste-te-reja-dhe-21-humbje-jete-ne-24-oret-e-fundit/
Albania,ALB,2021-01-21,549,549,,30,40,0.02,0.02,,14,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1031-te-vaksinuar-3691-testime-849-te-sheruar-986-raste-te-reja-dhe-21-humbje-jete-ne-24-oret-e-fundit/
Albania,ALB,2021-01-22,,,,,34,,,,12,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1031-te-vaksinuar-3691-testime-849-te-sheruar-986-raste-te-reja-dhe-21-humbje-jete-ne-24-oret-e-fundit/
Albania,ALB,2021-01-23,,,,,26,,,,9,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1031-te-vaksinuar-3691-testime-849-te-sheruar-986-raste-te-reja-dhe-21-humbje-jete-ne-24-oret-e-fundit/
Albania,ALB,2021-01-24,,,,,21,,,,7,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1031-te-vaksinuar-3691-testime-849-te-sheruar-986-raste-te-reja-dhe-21-humbje-jete-ne-24-oret-e-fundit/
Albania,ALB,2021-01-25,,,,,15,,,,5,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1031-te-vaksinuar-3691-testime-849-te-sheruar-986-raste-te-reja-dhe-21-humbje-jete-ne-24-oret-e-fundit/
Albania,ALB,2021-01-26,,,,,9,,,,3,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1031-te-vaksinuar-3691-testime-849-te-sheruar-986-raste-te-reja-dhe-21-humbje-jete-ne-24-oret-e-fundit/
Albania,ALB,2021-01-27,,,,,4,,,,1,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1031-te-vaksinuar-3691-testime-849-te-sheruar-986-raste-te-reja-dhe-21-humbje-jete-ne-24-oret-e-fundit/
Albania,ALB,2021-01-28,,,,,,,,,,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1031-te-vaksinuar-3691-testime-849-te-sheruar-986-raste-te-reja-dhe-21-humbje-jete-ne-24-oret-e-fundit/
Albania,ALB,2021-01-29,,,,,,,,,,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1031-te-vaksinuar-3691-testime-849-te-sheruar-986-raste-te-reja-dhe-21-humbje-jete-ne-24-oret-e-fundit/
Albania,ALB,2021-01-30,,,,,,,,,,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1031-te-vaksinuar-3691-testime-849-te-sheruar-986-raste-te-reja-dhe-21-humbje-jete-ne-24-oret-e-fundit/
Albania,ALB,2021-01-31,,,,,,,,,,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1031-te-vaksinuar-3691-testime-849-te-sheruar-986-raste-te-reja-dhe-21-humbje-jete-ne-24-oret-e-fundit/
Albania,ALB,2021-02-01,,,,,,,,,,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1031-te-vaksinuar-3691-testime-849-te-sheruar-986-raste-te-reja-dhe-21-humbje-jete-ne-24-oret-e-fundit/
Albania,ALB,2021-02-02,550,549,1,,,0.02,0.02,0,,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1031-te-vaksinuar-3691-testime-849-te-sheruar-986-raste-te-reja-dhe-21-humbje-jete-ne-24-oret-e-fundit/
Albania,ALB,2021-02-03,,,,,12,,,,4,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1031-te-vaksinuar-3691-testime-849-te-sheruar-986-raste-te-reja-dhe-21-humbje-jete-ne-24-oret-e-fundit/
Albania,ALB,2021-02-04,,,,,24,,,,8,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1031-te-vaksinuar-3691-testime-849-te-sheruar-986-raste-te-reja-dhe-21-humbje-jete-ne-24-oret-e-fundit/
Albania,ALB,2021-02-05,,,,,35,,,,12,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1031-te-vaksinuar-3691-testime-849-te-sheruar-986-raste-te-reja-dhe-21-humbje-jete-ne-24-oret-e-fundit/
Albania,ALB,2021-02-06,,,,,47,,,,16,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1031-te-vaksinuar-3691-testime-849-te-sheruar-986-raste-te-reja-dhe-21-humbje-jete-ne-24-oret-e-fundit/
Albania,ALB,2021-02-07,,,,,59,,,,21,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1031-te-vaksinuar-3691-testime-849-te-sheruar-986-raste-te-reja-dhe-21-humbje-jete-ne-24-oret-e-fundit/
Albania,ALB,2021-02-08,,,,,71,,,,25,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1031-te-vaksinuar-3691-testime-849-te-sheruar-986-raste-te-reja-dhe-21-humbje-jete-ne-24-oret-e-fundit/
Albania,ALB,2021-02-09,1127,689,438,,82,0.04,0.02,0.02,28,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1031-te-vaksinuar-3691-testime-849-te-sheruar-986-raste-te-reja-dhe-21-humbje-jete-ne-24-oret-e-fundit/
Albania,ALB,2021-02-10,,,,,81,,,,28,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1031-te-vaksinuar-3691-testime-849-te-sheruar-986-raste-te-reja-dhe-21-humbje-jete-ne-24-oret-e-fundit/
Albania,ALB,2021-02-11,,,,,79,,,,27,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1031-te-vaksinuar-3691-testime-849-te-sheruar-986-raste-te-reja-dhe-21-humbje-jete-ne-24-oret-e-fundit/
Albania,ALB,2021-02-12,,,,,78,,,,27,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1031-te-vaksinuar-3691-testime-849-te-sheruar-986-raste-te-reja-dhe-21-humbje-jete-ne-24-oret-e-fundit/
Albania,ALB,2021-02-13,,,,,76,,,,26,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1031-te-vaksinuar-3691-testime-849-te-sheruar-986-raste-te-reja-dhe-21-humbje-jete-ne-24-oret-e-fundit/
Albania,ALB,2021-02-14,,,,,75,,,,26,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1031-te-vaksinuar-3691-testime-849-te-sheruar-986-raste-te-reja-dhe-21-humbje-jete-ne-24-oret-e-fundit/
Albania,ALB,2021-02-15,,,,,73,,,,25,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1031-te-vaksinuar-3691-testime-849-te-sheruar-986-raste-te-reja-dhe-21-humbje-jete-ne-24-oret-e-fundit/
Albania,ALB,2021-02-16,,,,,72,,,,25,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1031-te-vaksinuar-3691-testime-849-te-sheruar-986-raste-te-reja-dhe-21-humbje-jete-ne-24-oret-e-fundit/
Albania,ALB,2021-02-17,1701,1090,611,,72,0.06,0.04,0.02,25,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1031-te-vaksinuar-3691-testime-849-te-sheruar-986-raste-te-reja-dhe-21-humbje-jete-ne-24-oret-e-fundit/
Albania,ALB,2021-02-18,3049,2438,611,1348,254,0.11,0.08,0.02,88,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1031-te-vaksinuar-3691-testime-849-te-sheruar-986-raste-te-reja-dhe-21-humbje-jete-ne-24-oret-e-fundit/
Albania,ALB,2021-02-19,4177,,,1128,405,0.15,,,141,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1031-te-vaksinuar-3691-testime-849-te-sheruar-986-raste-te-reja-dhe-21-humbje-jete-ne-24-oret-e-fundit/
Albania,ALB,2021-02-20,,,,,516,,,,179,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1031-te-vaksinuar-3691-testime-849-te-sheruar-986-raste-te-reja-dhe-21-humbje-jete-ne-24-oret-e-fundit/
Albania,ALB,2021-02-21,,,,,627,,,,218,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1031-te-vaksinuar-3691-testime-849-te-sheruar-986-raste-te-reja-dhe-21-humbje-jete-ne-24-oret-e-fundit/
Albania,ALB,2021-02-22,6728,6073,655,,739,0.23,0.21,0.02,257,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1031-te-vaksinuar-3691-testime-849-te-sheruar-986-raste-te-reja-dhe-21-humbje-jete-ne-24-oret-e-fundit/
Albania,ALB,2021-02-23,,,,,891,,,,310,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1031-te-vaksinuar-3691-testime-849-te-sheruar-986-raste-te-reja-dhe-21-humbje-jete-ne-24-oret-e-fundit/
Albania,ALB,2021-02-24,,,,,1043,,,,362,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1031-te-vaksinuar-3691-testime-849-te-sheruar-986-raste-te-reja-dhe-21-humbje-jete-ne-24-oret-e-fundit/
Albania,ALB,2021-02-25,10135,,,,1012,0.35,,,352,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1031-te-vaksinuar-3691-testime-849-te-sheruar-986-raste-te-reja-dhe-21-humbje-jete-ne-24-oret-e-fundit/
Algeria,DZA,2021-01-29,0,,,,,0,,,,Sputnik V,Ministry of Health,https://www.echoroukonline.com/%d9%84%d9%82%d8%a7%d8%ad-%d9%83%d9%88%d8%b1%d9%88%d9%86%d8%a7-%d8%b9%d8%b6%d9%88-%d8%a8%d8%a7%d9%84%d9%84%d8%ac%d9%86%d8%a9-%d8%a7%d9%84%d8%b9%d9%84%d9%85%d9%8a%d8%a9-%d9%8a%d9%83%d8%b4%d9%81-%d8%b9/
Algeria,DZA,2021-01-30,30,,,30,30,0,,,1,Sputnik V,Ministry of Health,https://www.echoroukonline.com/%d9%84%d9%82%d8%a7%d8%ad-%d9%83%d9%88%d8%b1%d9%88%d9%86%d8%a7-%d8%b9%d8%b6%d9%88-%d8%a8%d8%a7%d9%84%d9%84%d8%ac%d9%86%d8%a9-%d8%a7%d9%84%d8%b9%d9%84%d9%85%d9%8a%d8%a9-%d9%8a%d9%83%d8%b4%d9%81-%d8%b9/
Algeria,DZA,2021-01-31,,,,,1889,,,,43,Sputnik V,Ministry of Health,https://www.echoroukonline.com/%d9%84%d9%82%d8%a7%d8%ad-%d9%83%d9%88%d8%b1%d9%88%d9%86%d8%a7-%d8%b9%d8%b6%d9%88-%d8%a8%d8%a7%d9%84%d9%84%d8%ac%d9%86%d8%a9-%d8%a7%d9%84%d8%b9%d9%84%d9%85%d9%8a%d8%a9-%d9%8a%d9%83%d8%b4%d9%81-%d8%b9/
Algeria,DZA,2021-02-01,,,,,2509,,,,57,Sputnik V,Ministry of Health,https://www.echoroukonline.com/%d9%84%d9%82%d8%a7%d8%ad-%d9%83%d9%88%d8%b1%d9%88%d9%86%d8%a7-%d8%b9%d8%b6%d9%88-%d8%a8%d8%a7%d9%84%d9%84%d8%ac%d9%86%d8%a9-%d8%a7%d9%84%d8%b9%d9%84%d9%85%d9%8a%d8%a9-%d9%8a%d9%83%d8%b4%d9%81-%d8%b9/
Algeria,DZA,2021-02-02,,,,,2819,,,,64,Sputnik V,Ministry of Health,https://www.echoroukonline.com/%d9%84%d9%82%d8%a7%d8%ad-%d9%83%d9%88%d8%b1%d9%88%d9%86%d8%a7-%d8%b9%d8%b6%d9%88-%d8%a8%d8%a7%d9%84%d9%84%d8%ac%d9%86%d8%a9-%d8%a7%d9%84%d8%b9%d9%84%d9%85%d9%8a%d8%a9-%d9%8a%d9%83%d8%b4%d9%81-%d8%b9/
Algeria,DZA,2021-02-03,,,,,3005,,,,69,Sputnik V,Ministry of Health,https://www.echoroukonline.com/%d9%84%d9%82%d8%a7%d8%ad-%d9%83%d9%88%d8%b1%d9%88%d9%86%d8%a7-%d8%b9%d8%b6%d9%88-%d8%a8%d8%a7%d9%84%d9%84%d8%ac%d9%86%d8%a9-%d8%a7%d9%84%d8%b9%d9%84%d9%85%d9%8a%d8%a9-%d9%8a%d9%83%d8%b4%d9%81-%d8%b9/
Algeria,DZA,2021-02-04,,,,,3129,,,,71,Sputnik V,Ministry of Health,https://www.echoroukonline.com/%d9%84%d9%82%d8%a7%d8%ad-%d9%83%d9%88%d8%b1%d9%88%d9%86%d8%a7-%d8%b9%d8%b6%d9%88-%d8%a8%d8%a7%d9%84%d9%84%d8%ac%d9%86%d8%a9-%d8%a7%d9%84%d8%b9%d9%84%d9%85%d9%8a%d8%a9-%d9%8a%d9%83%d8%b4%d9%81-%d8%b9/
Algeria,DZA,2021-02-05,,,,,3217,,,,73,Sputnik V,Ministry of Health,https://www.echoroukonline.com/%d9%84%d9%82%d8%a7%d8%ad-%d9%83%d9%88%d8%b1%d9%88%d9%86%d8%a7-%d8%b9%d8%b6%d9%88-%d8%a8%d8%a7%d9%84%d9%84%d8%ac%d9%86%d8%a9-%d8%a7%d9%84%d8%b9%d9%84%d9%85%d9%8a%d8%a9-%d9%8a%d9%83%d8%b4%d9%81-%d8%b9/
Algeria,DZA,2021-02-06,,,,,3748,,,,85,Sputnik V,Ministry of Health,https://www.echoroukonline.com/%d9%84%d9%82%d8%a7%d8%ad-%d9%83%d9%88%d8%b1%d9%88%d9%86%d8%a7-%d8%b9%d8%b6%d9%88-%d8%a8%d8%a7%d9%84%d9%84%d8%ac%d9%86%d8%a9-%d8%a7%d9%84%d8%b9%d9%84%d9%85%d9%8a%d8%a9-%d9%8a%d9%83%d8%b4%d9%81-%d8%b9/
Algeria,DZA,2021-02-07,,,,,3748,,,,85,Sputnik V,Ministry of Health,https://www.echoroukonline.com/%d9%84%d9%82%d8%a7%d8%ad-%d9%83%d9%88%d8%b1%d9%88%d9%86%d8%a7-%d8%b9%d8%b6%d9%88-%d8%a8%d8%a7%d9%84%d9%84%d8%ac%d9%86%d8%a9-%d8%a7%d9%84%d8%b9%d9%84%d9%85%d9%8a%d8%a9-%d9%8a%d9%83%d8%b4%d9%81-%d8%b9/
Algeria,DZA,2021-02-08,,,,,3748,,,,85,Sputnik V,Ministry of Health,https://www.echoroukonline.com/%d9%84%d9%82%d8%a7%d8%ad-%d9%83%d9%88%d8%b1%d9%88%d9%86%d8%a7-%d8%b9%d8%b6%d9%88-%d8%a8%d8%a7%d9%84%d9%84%d8%ac%d9%86%d8%a9-%d8%a7%d9%84%d8%b9%d9%84%d9%85%d9%8a%d8%a9-%d9%8a%d9%83%d8%b4%d9%81-%d8%b9/
Algeria,DZA,2021-02-09,,,,,3748,,,,85,Sputnik V,Ministry of Health,https://www.echoroukonline.com/%d9%84%d9%82%d8%a7%d8%ad-%d9%83%d9%88%d8%b1%d9%88%d9%86%d8%a7-%d8%b9%d8%b6%d9%88-%d8%a8%d8%a7%d9%84%d9%84%d8%ac%d9%86%d8%a9-%d8%a7%d9%84%d8%b9%d9%84%d9%85%d9%8a%d8%a9-%d9%8a%d9%83%d8%b4%d9%81-%d8%b9/
Algeria,DZA,2021-02-10,,,,,3748,,,,85,Sputnik V,Ministry of Health,https://www.echoroukonline.com/%d9%84%d9%82%d8%a7%d8%ad-%d9%83%d9%88%d8%b1%d9%88%d9%86%d8%a7-%d8%b9%d8%b6%d9%88-%d8%a8%d8%a7%d9%84%d9%84%d8%ac%d9%86%d8%a9-%d8%a7%d9%84%d8%b9%d9%84%d9%85%d9%8a%d8%a9-%d9%8a%d9%83%d8%b4%d9%81-%d8%b9/
Algeria,DZA,2021-02-11,,,,,3748,,,,85,Sputnik V,Ministry of Health,https://www.echoroukonline.com/%d9%84%d9%82%d8%a7%d8%ad-%d9%83%d9%88%d8%b1%d9%88%d9%86%d8%a7-%d8%b9%d8%b6%d9%88-%d8%a8%d8%a7%d9%84%d9%84%d8%ac%d9%86%d8%a9-%d8%a7%d9%84%d8%b9%d9%84%d9%85%d9%8a%d8%a9-%d9%8a%d9%83%d8%b4%d9%81-%d8%b9/
Algeria,DZA,2021-02-12,,,,,3748,,,,85,Sputnik V,Ministry of Health,https://www.echoroukonline.com/%d9%84%d9%82%d8%a7%d8%ad-%d9%83%d9%88%d8%b1%d9%88%d9%86%d8%a7-%d8%b9%d8%b6%d9%88-%d8%a8%d8%a7%d9%84%d9%84%d8%ac%d9%86%d8%a9-%d8%a7%d9%84%d8%b9%d9%84%d9%85%d9%8a%d8%a9-%d9%8a%d9%83%d8%b4%d9%81-%d8%b9/
Algeria,DZA,2021-02-13,,,,,3748,,,,85,Sputnik V,Ministry of Health,https://www.echoroukonline.com/%d9%84%d9%82%d8%a7%d8%ad-%d9%83%d9%88%d8%b1%d9%88%d9%86%d8%a7-%d8%b9%d8%b6%d9%88-%d8%a8%d8%a7%d9%84%d9%84%d8%ac%d9%86%d8%a9-%d8%a7%d9%84%d8%b9%d9%84%d9%85%d9%8a%d8%a9-%d9%8a%d9%83%d8%b4%d9%81-%d8%b9/
Algeria,DZA,2021-02-14,,,,,3748,,,,85,Sputnik V,Ministry of Health,https://www.echoroukonline.com/%d9%84%d9%82%d8%a7%d8%ad-%d9%83%d9%88%d8%b1%d9%88%d9%86%d8%a7-%d8%b9%d8%b6%d9%88-%d8%a8%d8%a7%d9%84%d9%84%d8%ac%d9%86%d8%a9-%d8%a7%d9%84%d8%b9%d9%84%d9%85%d9%8a%d8%a9-%d9%8a%d9%83%d8%b4%d9%81-%d8%b9/
Algeria,DZA,2021-02-15,,,,,3748,,,,85,Sputnik V,Ministry of Health,https://www.echoroukonline.com/%d9%84%d9%82%d8%a7%d8%ad-%d9%83%d9%88%d8%b1%d9%88%d9%86%d8%a7-%d8%b9%d8%b6%d9%88-%d8%a8%d8%a7%d9%84%d9%84%d8%ac%d9%86%d8%a9-%d8%a7%d9%84%d8%b9%d9%84%d9%85%d9%8a%d8%a9-%d9%8a%d9%83%d8%b4%d9%81-%d8%b9/
Algeria,DZA,2021-02-16,,,,,3748,,,,85,Sputnik V,Ministry of Health,https://www.echoroukonline.com/%d9%84%d9%82%d8%a7%d8%ad-%d9%83%d9%88%d8%b1%d9%88%d9%86%d8%a7-%d8%b9%d8%b6%d9%88-%d8%a8%d8%a7%d9%84%d9%84%d8%ac%d9%86%d8%a9-%d8%a7%d9%84%d8%b9%d9%84%d9%85%d9%8a%d8%a9-%d9%8a%d9%83%d8%b4%d9%81-%d8%b9/
Algeria,DZA,2021-02-17,,,,,3748,,,,85,Sputnik V,Ministry of Health,https://www.echoroukonline.com/%d9%84%d9%82%d8%a7%d8%ad-%d9%83%d9%88%d8%b1%d9%88%d9%86%d8%a7-%d8%b9%d8%b6%d9%88-%d8%a8%d8%a7%d9%84%d9%84%d8%ac%d9%86%d8%a9-%d8%a7%d9%84%d8%b9%d9%84%d9%85%d9%8a%d8%a9-%d9%8a%d9%83%d8%b4%d9%81-%d8%b9/
Algeria,DZA,2021-02-18,,,,,3748,,,,85,Sputnik V,Ministry of Health,https://www.echoroukonline.com/%d9%84%d9%82%d8%a7%d8%ad-%d9%83%d9%88%d8%b1%d9%88%d9%86%d8%a7-%d8%b9%d8%b6%d9%88-%d8%a8%d8%a7%d9%84%d9%84%d8%ac%d9%86%d8%a9-%d8%a7%d9%84%d8%b9%d9%84%d9%85%d9%8a%d8%a9-%d9%8a%d9%83%d8%b4%d9%81-%d8%b9/
Algeria,DZA,2021-02-19,75000,,,,3748,0.17,,,85,Sputnik V,Ministry of Health,https://www.echoroukonline.com/%d9%84%d9%82%d8%a7%d8%ad-%d9%83%d9%88%d8%b1%d9%88%d9%86%d8%a7-%d8%b9%d8%b6%d9%88-%d8%a8%d8%a7%d9%84%d9%84%d8%ac%d9%86%d8%a9-%d8%a7%d9%84%d8%b9%d9%84%d9%85%d9%8a%d8%a9-%d9%8a%d9%83%d8%b4%d9%81-%d8%b9/
Andorra,AND,2021-01-25,576,576,,,,0.75,0.75,,,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12468-mes-de-7-000-persones-s-inscriuen-per-rebre-la-vacuna-el-primer-dia-d-acces-a-la-plataforma
Andorra,AND,2021-01-26,,,,,66,,,,854,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12468-mes-de-7-000-persones-s-inscriuen-per-rebre-la-vacuna-el-primer-dia-d-acces-a-la-plataforma
Andorra,AND,2021-01-27,,,,,66,,,,854,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12468-mes-de-7-000-persones-s-inscriuen-per-rebre-la-vacuna-el-primer-dia-d-acces-a-la-plataforma
Andorra,AND,2021-01-28,,,,,66,,,,854,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12468-mes-de-7-000-persones-s-inscriuen-per-rebre-la-vacuna-el-primer-dia-d-acces-a-la-plataforma
Andorra,AND,2021-01-29,,,,,66,,,,854,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12468-mes-de-7-000-persones-s-inscriuen-per-rebre-la-vacuna-el-primer-dia-d-acces-a-la-plataforma
Andorra,AND,2021-01-30,,,,,66,,,,854,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12468-mes-de-7-000-persones-s-inscriuen-per-rebre-la-vacuna-el-primer-dia-d-acces-a-la-plataforma
Andorra,AND,2021-01-31,,,,,66,,,,854,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12468-mes-de-7-000-persones-s-inscriuen-per-rebre-la-vacuna-el-primer-dia-d-acces-a-la-plataforma
Andorra,AND,2021-02-01,1036,1036,,,66,1.34,1.34,,854,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12468-mes-de-7-000-persones-s-inscriuen-per-rebre-la-vacuna-el-primer-dia-d-acces-a-la-plataforma
Andorra,AND,2021-02-02,,,,,60,,,,777,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12468-mes-de-7-000-persones-s-inscriuen-per-rebre-la-vacuna-el-primer-dia-d-acces-a-la-plataforma
Andorra,AND,2021-02-03,,,,,55,,,,712,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12468-mes-de-7-000-persones-s-inscriuen-per-rebre-la-vacuna-el-primer-dia-d-acces-a-la-plataforma
Andorra,AND,2021-02-04,,,,,50,,,,647,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12468-mes-de-7-000-persones-s-inscriuen-per-rebre-la-vacuna-el-primer-dia-d-acces-a-la-plataforma
Andorra,AND,2021-02-05,,,,,44,,,,569,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12468-mes-de-7-000-persones-s-inscriuen-per-rebre-la-vacuna-el-primer-dia-d-acces-a-la-plataforma
Andorra,AND,2021-02-06,,,,,39,,,,505,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12468-mes-de-7-000-persones-s-inscriuen-per-rebre-la-vacuna-el-primer-dia-d-acces-a-la-plataforma
